SPY,SPY,SPY,SPY,SPY,SPY,SPY,AKREX,AKREX,AKREX,AKREX,AKREX,AKREX,AKREX,TROW,TROW,TROW,TROW,TROW,TROW,TROW,COHOX,COHOX,COHOX,COHOX,COHOX,COHOX,COHOX,VTI,VTI,VTI,VTI,VTI,VTI,VTI
open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
272.26,273.865,269.18,269.8,105191674,418205,271.108875,272.26,273.865,269.18,269.8,105191674,418205,271.108875,272.26,273.865,269.18,269.8,105191674,418205,271.108875,272.26,273.865,269.18,269.8,105191674,418205,271.108875,272.26,273.865,269.18,269.8,105191674,418205,271.108875
269.29,271.75,268.49,270.91,77075079,367571,270.031931,269.29,271.75,268.49,270.91,77075079,367571,270.031931,269.29,271.75,268.49,270.91,77075079,367571,270.031931,269.29,271.75,268.49,270.91,77075079,367571,270.031931,269.29,271.75,268.49,270.91,77075079,367571,270.031931
272.12,273.66,271.1495,271.34,102092599,329522,272.036249,272.12,273.66,271.1495,271.34,102092599,329522,272.036249,272.12,273.66,271.1495,271.34,102092599,329522,272.036249,272.12,273.66,271.1495,271.34,102092599,329522,272.036249,272.12,273.66,271.1495,271.34,102092599,329522,272.036249
269.51,272.04,269.24,271.84,63769156,279127,270.689557,269.51,272.04,269.24,271.84,63769156,279127,270.689557,269.51,272.04,269.24,271.84,63769156,279127,270.689557,269.51,272.04,269.24,271.84,63769156,279127,270.689557,269.51,272.04,269.24,271.84,63769156,279127,270.689557
272.87,272.98,270.42,270.88,42201071,180591,271.716151,272.87,272.98,270.42,270.88,42201071,180591,271.716151,272.87,272.98,270.42,270.88,42201071,180591,271.716151,272.87,272.98,270.42,270.88,42201071,180591,271.716151,272.87,272.98,270.42,270.88,42201071,180591,271.716151
272.17,273.18,270.96,273.02,57441049,260592,272.247814,272.17,273.18,270.96,273.02,57441049,260592,272.247814,272.17,273.18,270.96,273.02,57441049,260592,272.247814,272.17,273.18,270.96,273.02,57441049,260592,272.247814,272.17,273.18,270.96,273.02,57441049,260592,272.247814
273.14,275.84,272.715,275.36,66693896,269826,274.929843,273.14,275.84,272.715,275.36,66693896,269826,274.929843,273.14,275.84,272.715,275.36,66693896,269826,274.929843,273.14,275.84,272.715,275.36,66693896,269826,274.929843,273.14,275.84,272.715,275.36,66693896,269826,274.929843
276.55,277.96,276.5,277.9,51771719,212828,277.260701,276.55,277.96,276.5,277.9,51771719,212828,277.260701,276.55,277.96,276.5,277.9,51771719,212828,277.260701,276.55,277.96,276.5,277.9,51771719,212828,277.260701,276.55,277.96,276.5,277.9,51771719,212828,277.260701
278.41,279.01,278.08,278.81,52147083,207663,278.580198,278.41,279.01,278.08,278.81,52147083,207663,278.580198,278.41,279.01,278.08,278.81,52147083,207663,278.580198,278.41,279.01,278.08,278.81,52147083,207663,278.580198,278.41,279.01,278.08,278.81,52147083,207663,278.580198
277.15,278.04,276.52,276.91,77958543,300427,277.266925,277.15,278.04,276.52,276.91,77958543,300427,277.266925,277.15,278.04,276.52,276.91,77958543,300427,277.266925,277.15,278.04,276.52,276.91,77958543,300427,277.266925,277.15,278.04,276.52,276.91,77958543,300427,277.266925
